id,platform_id,asset,is_otc,amount,direction,entry_time,exit_time,entry_balance,exit_balance,result,profit,status,expiration,timeframe,model_votes,indicator_votes,wm_confidence,resolved_by,created_at
16,13627355248,EURUSD-OTC,1,7.0,call,2026-02-19T00:06:13.096204,2026-02-19T00:11:13.267630,90818.5,90818.5,draw,0.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""put"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.8675964660942607,,2026-02-19 00:06:13
15,13627337163,EURUSD-OTC,1,14.0,call,2026-02-19T00:00:03.438502,2026-02-19T00:05:03.862649,90825.5,90825.5,draw,0.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9579182903893181,,2026-02-19 00:00:03
14,13627302941,EURUSD-OTC,1,14.0,call,2026-02-18T23:48:09.475047,2026-02-18T23:53:09.643396,90813.6,90839.5,win,25.89999999999418,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9578139783439464,,2026-02-18 23:48:09
13,13627286395,EURUSD-OTC,1,14.0,call,2026-02-18T23:41:40.445360,2026-02-18T23:47:00.475432,90827.6,90827.6,draw,0.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": ""call"", ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9796093047043695,,2026-02-18 23:41:40
12,13627268970,EURUSD-OTC,1,7.0,call,2026-02-18T23:35:30.796259,2026-02-18T23:40:30.966189,90828.65,90841.6,win,12.950000000011642,closed,5,900,"{""lstm"": ""call"", ""rf"": ""put"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": ""call"", ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9322368328613758,,2026-02-18 23:35:30
11,13627251824,EURUSD-OTC,1,7.0,call,2026-02-18T23:29:19.749817,2026-02-18T23:34:19.925100,90822.7,90835.65,win,12.94999999999709,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""put""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""put"", ""roc"": null, ""rsi"": null, ""sma"": ""call"", ""stochastic"": null, ""trend"": ""call""}",0.808310757862625,,2026-02-18 23:29:19
10,13627230718,EURUSD-OTC,1,7.0,call,2026-02-18T23:21:32.660881,2026-02-18T23:27:00.603974,90829.7,90829.7,draw,0.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""put"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""put"", ""roc"": null, ""rsi"": null, ""sma"": ""call"", ""stochastic"": null, ""trend"": ""call""}",0.8060438410997172,,2026-02-18 23:21:32
9,13627213424,EURUSD-OTC,1,7.0,call,2026-02-18T23:15:21.539184,2026-02-18T23:20:21.708609,90823.75,90836.7,win,12.94999999999709,closed,5,900,"{""lstm"": ""call"", ""rf"": ""put"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""put"", ""roc"": ""call"", ""rsi"": null, ""sma"": ""call"", ""stochastic"": null, ""trend"": ""call""}",0.8966267483742725,,2026-02-18 23:15:21
8,13627194779,EURUSD-OTC,1,7.0,call,2026-02-18T23:09:12.024449,2026-02-18T23:14:12.201862,90830.75,90830.75,draw,0.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""put""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""put"", ""roc"": ""call"", ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.8140762351101625,,2026-02-18 23:09:12
7,13626441998,EURJPY-OTC,1,10.0,call,2026-02-18T17:50:19.901029,2026-02-18T17:55:20.151888,90822.75,90841.25,win,18.5,closed,5,900,"{""lstm"": ""put"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9248368008007465,,2026-02-18 17:50:19
6,13626424042,EURJPY-OTC,1,10.0,call,2026-02-18T17:44:04.073906,2026-02-18T17:49:04.302588,90814.25,90832.75,win,18.5,closed,5,900,"{""lstm"": ""put"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""put"", ""roc"": ""call"", ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.856949368921414,,2026-02-18 17:44:04
5,13626408913,EURUSD-OTC,1,7.0,call,2026-02-18T17:38:34.510320,2026-02-18T17:43:59.304589,90811.3,90824.25,win,12.94999999999709,closed,5,900,"{""lstm"": ""put"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": ""call"", ""macd"": null, ""momentum"": ""call"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.9133369178155407,,2026-02-18 17:38:34
4,13626392629,EURJPY-OTC,1,10.0,call,2026-02-18T17:32:17.781144,2026-02-18T17:37:18.050577,90799.8,90818.3,win,18.5,closed,5,900,"{""lstm"": ""put"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""put"", ""roc"": ""call"", ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.8500550161235335,,2026-02-18 17:32:17
3,13626378686,EURUSD-OTC,1,7.0,call,2026-02-18T17:27:13.283504,2026-02-18T17:32:13.538046,90796.85,90809.8,win,12.94999999999709,closed,5,900,"{""lstm"": ""call"", ""rf"": ""call"", ""xgb"": ""put""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""put"", ""roc"": null, ""rsi"": null, ""sma"": ""call"", ""stochastic"": null, ""trend"": ""call""}",0.7982222600306985,,2026-02-18 17:27:13
2,13626361509,GBPUSD-OTC,1,10.0,call,2026-02-18T17:20:38.437218,2026-02-18T17:25:59.379114,90785.35,90803.85,win,18.5,closed,5,900,"{""lstm"": ""put"", ""rf"": ""call"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""put"", ""roc"": null, ""rsi"": null, ""sma"": null, ""stochastic"": null, ""trend"": ""call""}",0.636739575661458,,2026-02-18 17:20:38
1,13626348546,EURUSD-OTC,1,7.0,call,2026-02-18T17:15:31.625798,2026-02-18T17:20:31.882431,90795.35,90795.35,draw,0.0,closed,5,900,"{""lstm"": ""call"", ""rf"": ""put"", ""xgb"": ""call""}","{""bollinger"": null, ""ema"": null, ""macd"": null, ""momentum"": ""put"", ""roc"": null, ""rsi"": null, ""sma"": ""call"", ""stochastic"": null, ""trend"": ""call""}",0.792561004302415,,2026-02-18 17:15:31
